lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message,orig_init_index
0.01,0.0,0.0,0.6981257429824489,-0.2260031667910296,0.0,-0.534707661008072,True,0.7620101427027247,0.0002932234990839,0.0638844000309181,-0.5835480226961063,0.9996161474391292,0.9996161482989292,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,1.0,0.8024096219187483,0.0192320410581473,0.2750685540404129,-0.1396293394445831,True,0.601454855522799,0.0005378147323442,0.224428682277182,-0.5827495739164944,0.9996161459055688,0.9996161487980156,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,2.0,0.3841716830335693,-0.0217444281368464,0.0,0.3826799429567545,True,0.595798007739098,0.0005914091830989,0.2302364530605606,-0.5852098182969835,0.9996161477903734,0.9996161512880216,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,3.0,0.4163661692584948,-1.4906023453416113,0.4723946023809627,-0.2348408917176772,True,0.3848914706637495,0.0002524738664684,0.4409199037862175,-0.5824052654194237,0.9996161472109556,0.999616147848386,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,4.0,0.5446322484671882,1.0142582202597743,0.3475859726610063,0.6192634986315572,True,0.4343033304974333,-0.0069396702638494,0.3917310670794323,-0.587454875015365,0.999616198792731,0.9996166803829648,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.01,0.0,6.0,0.211596152866776,-1.2628169728522436,0.44945005410996,0.346813776156996,True,0.2471308968384872,0.0002610350071493,0.5787683138242811,-0.5840537716466402,0.9996161478658412,0.999616148547234,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,7.0,0.3646917719873715,-1.1635837024083502,0.0579986434037596,0.2067962452917854,True,0.5662291548626635,-4.268727413249594e-05,0.2595360243989412,-0.5820662705005639,0.9996161488190282,0.99961614883725,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,8.0,0.3873133545307737,-0.4656481864368929,0.2033962325363426,0.2445758312617075,True,0.420189853033153,0.0002815211190263,0.4055194600234087,-0.5827521372153222,0.9996161468227298,0.9996161476152712,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,9.0,0.7506126776644714,-0.9099584513504582,0.622837403959454,0.0977994767139089,True,0.3883974893047671,0.0002000770783043,0.4373098244974002,-0.5825615590163352,0.9996161472894246,0.999616147689733,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,10.0,0.4534176530887853,-0.5963395733328462,0.6913479727419825,0.1348107177301042,True,0.2400836282792122,0.0005539703620596,0.5857109216314056,-0.6098963937985258,0.999616298000343,0.9996163010691748,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,
0.01,0.0,11.0,0.4584197609388694,-0.6951872087642176,0.1886000064036173,-0.107117909167592,True,0.5477239063011656,0.0003553042653636,0.277904151749936,-0.5827176893585068,0.9996161464060828,0.9996161476684938,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,12.0,0.8717033738061355,0.559395691242577,0.042217347688854,-0.7914672090998761,True,0.6621169333904086,0.0002705138779233,0.1634602174899922,-0.580907532002273,0.9996161475814206,0.999616148313198,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,13.0,0.3583001509028067,0.1736207954555744,0.1431696023252729,-0.1305183721382484,True,0.5202556453264299,0.0002023329192059,0.3051250969887644,-0.5833652581876969,0.9996161485226734,0.9996161489320596,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,14.0,0.364832916919402,-0.2698911165981004,0.2829049317699005,-0.406900512871935,True,0.4538065086580017,0.0003054327687929,0.3718785235085002,-0.5827752089898388,0.9996161466739792,0.999616147606871,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,15.0,0.2599150332874547,-0.643366809372405,0.7068078248445573,-0.3092979997268736,True,0.2714255973296591,0.0003999141740059,0.5544679466407201,-0.5839461166510319,0.9996161469978014,0.9996161485971148,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,16.0,0.4510979991112937,-0.9964997374206666,0.2908772485174011,-0.0546151986644968,True,0.4929436259535211,0.0003848579639855,0.3327228753596285,-0.5826384469065007,0.9996161462098522,0.9996161476910088,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
0.01,0.0,17.0,0.5716496227920572,-1.9,0.2172834284795185,-0.075681969980126,True,0.5146768356416422,0.0002896776973845,0.3108635986344656,-0.5824307907334043,0.999616146980422,0.9996161478195538,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,
