lambda_b,lambda_k,orig_init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message
0.01,0.0,5,0.6259086912704301,0.8118685686505351,0.2658883945615735,-1.3972233232650626,True,0.42921460310248577,0.0003614737736796277,0.39647597176592836,-0.5829710101065692,0.9996161463695611,0.999616147676194,12,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,19,0.458346535870926,0.5554416343267974,0.17594787248569,0.2424638793324987,True,0.39876700524678765,0.000355543409026629,0.42677049475399564,-0.5829396042204126,0.999616146627205,0.9996161478913161,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,26,0.1914951825542249,-0.9456039557204504,0.627307144539428,-0.9552524448818378,True,0.24539052024948987,0.0004402496866364395,0.5802276628347155,-0.5834657696621587,0.9996161460696981,0.9996161480078959,26,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,4,0.8193496400199102,-0.6123774891915654,0.0051571015073823,-1.1216127109012577,True,0.6788001497234784,-0.002876130329697759,0.09113646123745459,-0.021053009409058774,0.9997025357142716,0.9997070507275801,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.01,5,0.3145727491593079,-0.2504619345914298,0.5552221185909316,0.442877105359008,False,0.3145631147399897,-0.25047475684363757,0.5552253783394816,0.4428885174127771,3.6431490729656884,3.645737951392408,1,ABNORMAL: 
0.01,0.01,11,0.5407061345395325,0.693031195288899,0.3302784773306073,-0.4745032811714911,False,0.15212580715637064,0.012240665876083636,0.24728414799881424,-0.85850728913667,23.274472144223846,23.281843990217865,9,ABNORMAL: 
0.01,0.01,12,0.6329573060922475,0.8586807463870909,0.4779256317958833,-1.3637558145567643,False,0.1521647096126234,0.016928191784691817,0.3372097508431434,-1.5507742245376457,202.40407532841297,202.42812720100466,7,ABNORMAL: 
0.01,0.01,14,0.4258397130818799,-0.5036544697787255,0.5496360300020372,0.8532049524575578,False,0.5353242898735124,-0.028705839945659006,0.6355307676712301,1.0716729097031112,86.6469996490122,86.65849271751858,9,ABNORMAL: 
0.01,0.01,27,0.3873528492955468,-0.3691468251610869,0.4258532256796677,0.5557193968096069,True,0.3873524401474472,-0.369147306120847,0.42585310008989685,0.5557198227450024,123290.76302906135,123290.7674800039,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.1,0.0,4,0.1932004222692963,-0.7353289862771509,0.4934116653997596,-1.1240517935576706,True,0.2966848610508596,2.4313293897240504e-05,0.5289898257481068,-0.5835622334348451,0.9996161485116261,0.9996161485707397,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.1,0.0,6,0.6657811399213176,0.6193349333516771,0.3337061302821122,0.0309375824682484,True,0.42265085588087153,2.211865802368042e-05,0.4030420703758812,-0.5834436835273719,0.9996161484705054,0.9996161485194289,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.1,0.0,11,0.0535152639416481,-1.1109303185979316,0.7411844395466295,0.8682003114821718,True,0.19212060587080754,2.9284868204013317e-05,0.6335649058470515,-0.5825963665003493,0.9996161482704057,0.9996161483561661,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.1,0.0,20,0.4216767580351868,-1.747965337323806,0.4791542529251485,0.4752422054330483,False,0.4216767580351868,-1.747965337323806,0.4791542529251485,0.4752422054330483,1.3397972620577416,1.6453355441062945,0,ABNORMAL: 
0.1,0.0,21,0.7830743793363565,0.3236257679564163,0.2298248077652628,-0.5144934608063263,True,0.5834277405379176,0.00037656515140875097,0.24280289372510874,-0.7629542996970174,0.9996030606921912,0.9996030748723225,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.1,0.0,23,0.6947394643559884,-0.427116697494536,0.0,-0.7316983943601931,True,0.7194056192357527,6.719490536449779e-05,0.10641098880853349,-0.5745354628501265,0.9996161626239034,0.9996161630754189,18,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.1,0.0,28,0.2418257844459164,0.26295637958561,0.6901718484377517,0.1038134208047657,True,0.1369606303260342,2.066245691101234e-05,0.6887691974164546,-0.5825977164321063,0.9996161483405551,0.9996161483832489,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
