lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message
0.01,0.0,0,0.6981257429824489,-0.2260031667910296,0.0,-0.534707661008072,True,0.7620101427027247,0.00029322349908397847,0.06388440003091818,-0.5835480226961063,0.9996161474391291,0.9996161482989293,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,1,0.8024096219187483,0.01923204105814736,0.27506855404041297,-0.13962933944458317,True,0.601454855522799,0.0005378147323442255,0.22442868227718205,-0.5827495739164944,0.9996161459055688,0.9996161487980156,24,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,2,0.3841716830335693,-0.02174442813684646,0.0,0.3826799429567545,True,0.595798007739098,0.0005914091830989063,0.23023645306056062,-0.5852098182969835,0.9996161477903734,0.9996161512880216,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,3,0.4163661692584948,-1.4906023453416113,0.47239460238096276,-0.2348408917176772,True,0.3848914706637495,0.00025247386646846704,0.4409199037862175,-0.5824052654194237,0.9996161472109555,0.999616147848386,8,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,4,0.5446322484671882,1.0142582202597743,0.3475859726610063,0.6192634986315572,True,0.4343033304974333,-0.006939670263849446,0.39173106707943234,-0.587454875015365,0.999616198792731,0.9996166803829647,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.01,0.0,5,0.6259086912704301,0.8118685686505351,0.26588839456157354,-1.3972233232650626,False,0.13870774016394297,-0.030899517886868934,0.18620720331852766,2.0178139739529666,327.1756824474468,327.1756919952488,7,ABNORMAL: 
0.01,0.0,6,0.21159615286677608,-1.2628169728522436,0.44945005410996003,0.346813776156996,True,0.2471308968384872,0.0002610350071493463,0.5787683138242811,-0.5840537716466402,0.9996161478658412,0.9996161485472339,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,7,0.36469177198737157,-1.1635837024083502,0.05799864340375965,0.20679624529178547,True,0.5662291548626635,-4.268727413249594e-05,0.25953602439894125,-0.5820662705005639,0.9996161488190282,0.9996161488372501,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,8,0.38731335453077376,-0.46564818643689293,0.20339623253634267,0.24457583126170754,True,0.42018985303315304,0.0002815211190263122,0.4055194600234087,-0.5827521372153222,0.9996161468227298,0.9996161476152712,17,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,9,0.7506126776644714,-0.9099584513504582,0.622837403959454,0.0977994767139089,True,0.3883974893047671,0.0002000770783043116,0.4373098244974002,-0.5825615590163352,0.9996161472894246,0.999616147689733,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,10,0.45341765308878534,-0.5963395733328462,0.6913479727419825,0.13481071773010428,True,0.24008362827921229,0.0005539703620596469,0.5857109216314056,-0.6098963937985258,0.999616298000343,0.9996163010691747,8,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.01,0.0,11,0.45841976093886944,-0.6951872087642176,0.18860000640361738,-0.10711790916759208,True,0.5477239063011656,0.0003553042653636927,0.277904151749936,-0.5827176893585068,0.9996161464060827,0.9996161476684938,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,12,0.8717033738061355,0.559395691242577,0.04221734768885407,-0.7914672090998761,True,0.6621169333904086,0.0002705138779233126,0.16346021748999223,-0.580907532002273,0.9996161475814206,0.9996161483131981,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,13,0.35830015090280676,0.1736207954555744,0.14316960232527293,-0.13051837213824843,True,0.5202556453264299,0.00020233291920592158,0.3051250969887644,-0.5833652581876969,0.9996161485226734,0.9996161489320595,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,14,0.364832916919402,-0.26989111659810044,0.2829049317699005,-0.40690051287193507,True,0.4538065086580017,0.0003054327687929595,0.3718785235085002,-0.5827752089898388,0.9996161466739792,0.999616147606871,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,15,0.25991503328745474,-0.643366809372405,0.7068078248445573,-0.3092979997268736,True,0.2714255973296591,0.00039991417400592785,0.5544679466407201,-0.5839461166510319,0.9996161469978014,0.9996161485971149,16,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,16,0.4510979991112937,-0.9964997374206666,0.29087724851740115,-0.05461519866449684,True,0.4929436259535211,0.000384857963985584,0.3327228753596285,-0.5826384469065007,0.9996161462098522,0.9996161476910087,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,17,0.5716496227920572,-1.9,0.21728342847951856,-0.075681969980126,True,0.5146768356416422,0.00028967769738458304,0.3108635986344656,-0.5824307907334043,0.9996161469804221,0.9996161478195538,15,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,18,0.03344983158447645,-0.2309034513429552,0.4074348336941934,0.4221892974733541,True,0.19554447880192416,0.00033168038442205874,0.6303188698230684,-0.5831557107259616,0.9996161469791175,0.9996161480792363,13,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,19,0.458346535870926,0.5554416343267974,0.17594787248569005,0.24246387933249872,False,0.15620767795222507,0.024518794800540547,0.139551224013304,-1.8789163269438747,263.70954561727416,263.70955162898713,8,ABNORMAL: 
0.01,0.0,20,0.6035126982910195,-0.43986052223988975,0.2585877345921218,-0.13817970563603527,True,0.5853170635468437,0.00036760697883746126,0.24039209974693784,-0.5820519145801996,0.9996161464098003,0.9996161477611493,10,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,21,0.37040382341694295,-0.9240589471305724,0.3705270852761884,-0.6204631473154941,True,0.4128255504239081,0.0003418260815811114,0.41294881228315355,-0.5816423556535435,0.9996161468284347,0.9996161479968854,14,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,22,0.8429477052130581,-0.039444960191099165,0.24939626588634833,-0.9004041550119006,True,0.7081204636287624,0.0037168059142113586,0.11800031441936616,-0.7629236131824613,0.9996028112604949,0.9996029494069569,45,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,23,0.6693797729974666,0.06676802547436633,0.1262018978524396,-0.6788421757206845,True,0.6845589053010716,0.0006787041649826617,0.14138103024030377,-0.6792952501243926,0.9996172114330971,0.9996172160394906,6,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,24,0.1159889744011453,-1.1724249184910567,0.5391672993603452,-0.4002959141928668,True,0.20125749715108235,0.0002850338876397464,0.6244358216369436,-0.5829995516097516,0.9996161468177717,0.9996161476302149,11,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL
0.01,0.0,25,0.7634873213606861,-0.39805734829675327,0.523904020955842,0.4587272014732067,True,0.5184281171375604,0.003701429778513274,0.30763150419311025,-0.7629029152834289,0.9996028124574392,0.9996029494632632,36,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.01,0.0,26,0.1914951825542249,-0.9456039557204503,0.627307144539428,-0.9552524448818378,False,0.43862317805402734,-0.04849803688948181,0.7412945885633848,2.3923094467402453,359.8063285733805,359.80635209397633,10,ABNORMAL: 
