lambda_b,lambda_k,init_index,x0_a,x0_b,x0_m,x0_kappa,success,a,b,m,kappa,mse_plain,mse_penalized,n_iter,message
0.01,0.0,5,0.6259086912704301,0.8118685686505351,0.2658883945615735,-1.3972233232650626,False,0.1387077401639429,-0.0308995178868689,0.1862072033185276,2.0178139739529666,327.1756824474468,327.1756919952488,7,ABNORMAL: 
0.01,0.0,19,0.458346535870926,0.5554416343267974,0.17594787248569,0.2424638793324987,False,0.156207677952225,0.0245187948005405,0.139551224013304,-1.878916326943875,263.70954561727416,263.7095516289872,8,ABNORMAL: 
0.01,0.0,26,0.1914951825542249,-0.9456039557204504,0.627307144539428,-0.9552524448818378,False,0.4386231780540273,-0.0484980368894818,0.7412945885633848,2.3923094467402453,359.8063285733805,359.8063520939764,10,ABNORMAL: 
0.01,0.01,4,0.8193496400199102,-0.6123774891915654,0.0051571015073823,-1.1216127109012577,False,0.8596181438244951,-0.029285573722876,0.2268734603796373,1.356693495012077,205.115753560898,205.13416830974032,9,ABNORMAL: 
0.01,0.01,5,0.3145727491593079,-0.2504619345914298,0.5552221185909316,0.442877105359008,False,0.3145725432702321,-0.2504622086050024,0.5552220316317512,0.4428754697900996,3.6429496468136513,3.6455383468104623,1,ABNORMAL: 
0.01,0.01,11,0.5407061345395325,0.693031195288899,0.3302784773306073,-0.4745032811714911,True,0.1703445477676415,0.0444935836070208,0.2509595471521305,-2.76460573163095,701.4714047887062,701.5478550340097,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
0.01,0.01,12,0.6329573060922475,0.8586807463870909,0.4779256317958833,-1.3637558145567643,False,0.1740327755743254,0.0546895056585856,0.3436152197278253,-3.790726527392241,1234.932566255918,1235.076292241393,5,ABNORMAL: 
0.01,0.01,14,0.4258397130818799,-0.5036544697787255,0.5496360300020372,0.8532049524575578,False,0.5299465421949039,-0.049562662785973,0.6313262594389181,2.5092562164493764,384.3644628139616,384.4274510461349,7,ABNORMAL: 
0.01,0.01,27,0.3873528492955468,-0.3691468251610869,0.4258532256796677,0.5557193968096069,False,0.3873525621369442,-0.3691471626708977,0.4258531375272206,0.5557213446012026,113293.00745605856,113293.01190701696,6,ABNORMAL: 
0.1,0.0,4,0.1932004222692963,-0.7353289862771509,0.4934116653997596,-1.1240517935576706,False,0.3993044216790978,-0.0364319247231944,0.6228215839604503,1.717750497520494,222.90651882845728,222.9066515569712,7,ABNORMAL: 
0.1,0.0,6,0.6657811399213176,0.6193349333516771,0.3337061302821122,0.0309375824682484,False,0.2907708405242164,0.0278959436703732,0.2586590160595112,-2.227467461000022,340.5452622690645,340.54534008743184,11,ABNORMAL: 
0.1,0.0,11,0.0535152639416481,-1.1109303185979316,0.7411844395466295,0.8682003114821718,False,-0.2535983921889866,0.0327562454678072,0.2860784718772742,-2.209136627105715,339.35535193017887,339.3554592273406,27,ABNORMAL: 
0.1,0.0,20,0.4216767580351868,-1.747965337323806,0.4791542529251485,0.4752422054330483,False,0.4216759411345153,-1.7479631837291976,0.4791545522050222,0.4752361863205152,1.3279275278024123,1.6334650569696836,1,ABNORMAL: 
0.1,0.0,21,0.7830743793363565,0.3236257679564163,0.2298248077652628,-0.5144934608063263,False,0.5493094080016983,0.0179411849295219,0.1999791757248962,-1.7597201803019915,233.34716588075415,233.34719806936585,6,ABNORMAL: 
0.1,0.0,23,0.6947394643559884,-0.427116697494536,0.0,-0.7316983943601931,False,0.733007668275543,-0.2275747242162729,0.1129571137287819,0.4352270147131387,3.826978729077977,3.832157754588189,4,ABNORMAL: 
0.1,0.0,28,0.2418257844459164,0.26295637958561,0.6901718484377517,0.1038134208047657,False,0.1024145778792202,0.0072221745189481,0.6126527766994178,-1.0284880968037782,80.21656046509096,80.21656568107144,7,ABNORMAL: 
