run,success,fun,x_opt,elapsed_s,mse,sim_min,sim_max,sim_mean,n_nan,n_inf,error_type,error_msg,traceback_tail
0,True,1000000.0,"[0.2926432080882002, 0.07808092084202631, 0.0027299229834273314, -0.03786727486755903]",0.0054323673248291016,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
1,True,1000000.0,"[0.2505547507652161, -0.033880407481921636, 0.10179907790647016, 0.006630385203887023]",0.004933357238769531,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
2,True,1000000.0,"[0.20929006605265485, 0.00923937629892909, 0.0, -0.04877708327578243]",0.004759311676025391,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
3,True,1000000.0,"[0.2875768390154816, -0.03283935294288612, 0.0, 0.02663625627611446]",0.004971027374267578,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
4,True,1000000.0,"[0.28684135135141015, 0.03595302653893701, 0.05093209982042982, -0.03803613577872289]",0.004862308502197266,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
5,True,1000000.0,"[0.15646561028116812, 0.07507204360345801, 0.0, -0.012738032173002218]",0.004843235015869141,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
6,True,1000000.0,"[0.2939658507107132, 0.02781686147571667, 0.02392410413421938, 0.10805373589480435]",0.00479888916015625,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
7,True,1000000.0,"[0.19538023209925315, 0.04639736740974553, 0.003980371774993226, 0.013233232592912996]",0.00477147102355957,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
8,True,1000000.0,"[0.3039795649388869, 0.02539714882016486, 0.02804451948262065, 0.05342898551524026]",0.004748106002807617,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
9,True,1000000.0,"[0.20930850714111604, -0.04195512236126665, 0.0, -0.09851421081904994]",0.0047397613525390625,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
10,True,1000000.0,"[-0.25344272240147986, 0.09909891750007949, 0.9584461726351626, -0.9964422920430154]",0.004837512969970703,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
11,True,1000000.0,"[-0.86472892873268, 0.33007593649303224, 0.8489354400542587, 1.4664246335621118]",0.004820823669433594,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
12,True,1000000.0,"[1.3770452894954315, 0.16364907976382087, 0.7964318440873567, 0.5920795060346946]",0.004729509353637695,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
13,True,1000000.0,"[1.2865829700577285, -0.20137788645756619, 0.5178903519262574, 1.4928962677538198]",0.004801273345947266,,,,,,,InvalidIndexError,"(0, slice(None, None, None))","[""                                                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/tmp/ipython-input-668622251.py\"", line 98, in simulate_with_kappa"", ""    phi_sim[0,:] = Phi_init[0,:]"", ""                   ~~~~~~~~^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/frame.py\"", line 4102, in __getitem__"", ""    indexer = self.columns.get_loc(key)"", ""              ^^^^^^^^^^^^^^^^^^^^^^^^^"", ""  File \""/usr/local/lib/python3.12/dist-packages/pandas/core/indexes/base.py\"", line 3811, in get_loc"", ""    raise InvalidIndexError(key)"", ""pandas.errors.InvalidIndexError: (0, slice(None, None, None))""]"
